,150,450a,550a,009a,all_categories,kategorie_tematyczne,subject_category,item,ukLabel,deLabel,frLabel,enLabel,plLabel,itemId,lcsh,yso,550g,550h,009,455,555a,555g,555h,155
Anonimy (dzieła),Anonimy (dzieła),"['Dzieła anonimowe', 'Wydawnictwa anonimowe']","['Anonimowość', 'Autorstwo', 'Opis bibliograficzny']",['9810534014405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Barok,Barok,"['Barocco', 'Baroque', 'Barock']","['Prądy i kierunki literackie', 'Styl regencji (Francja)', 'Style architektoniczne', 'Style i kierunki artystyczne', 'Rokoko']",['9810549697405606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q37853,бароко,Barock,baroque,Baroque,barok,Q37853,sh85008345,15757,,,,,,,,
Ekspresjonizm,Ekspresjonizm,,,['9810611108805606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q1148060,експресіонізм,Expressionismus,architecture expressionniste,expressionist architecture,ekspresjonizm,Q1148060,sh85046542,9507,"['Style i kierunki artystyczne', 'Formizm', 'Neoekspresjonizm']",,,,,,,
Elfy,Elfy,,,['9810611108605606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q3050815,,Elfe in einem fiktionalen Werk,elfe dans la littérature fantasy et le jeu de rôle,elf in a work of fiction,elfy w fantastyce,Q3050815,,,"['Stworzenia fantastyczne', 'Mitologia']",,,,,,,
Fabuła,Fabuła,,"['Fikcja literacka', 'Muzyka programowa', 'Narracja', 'Poetyka', 'Świat przedstawiony', 'Spoiler (media)', 'Teoria filmu', 'Zamiana ról']",['9810614987405606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q217086,Фабула,Fabula,fabula,story,fabuła,Q217086,,,,['Suspens'],,,,,,
Feniks (zwierzę mitologiczne),Feniks (zwierzę mitologiczne),,,['9810691183905606'],Religia i duchowość Literaturoznawstwo,"['Religia i duchowo', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Stworzenia fantastyczne'],,,,,,,
Filologia,Filologia,['Philology'],,['9810692166805606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q40634,філологія,Philologie,philologie,philology,filologia,Q40634,sh85100821,14601,"['Nauki humanistyczne', 'Afrykanistyka', 'Bałkanistyka', 'Epigrafika', 'Orientalistyka']","['Bałtystyka', 'Filologia albańska', 'Filologia angielska', 'Filologia arabska', 'Filologia baszkirska', 'Filologia chińska', 'Filologia estońska', 'Filologia etiopska', 'Filologia języków germańskich', 'Filologia fińska', 'Filologia indyjska', 'Filologia irańska', 'Filologia japońska', 'Filologia klasyczna', 'Filologia koreańska', 'Filologia mongolska', 'Filologia nowogrecka', 'Filologia ormiańska', 'Filologia romańska', 'Filologia turecka', 'Filologia ugrofińska', 'Filologia węgierska', 'Językoznawstwo', 'Literaturoznawstwo', 'Slawistyka', 'Tekstologia']",,,,,,
Filologia angielska,Filologia angielska,['Anglistyka'],,['9810691770105606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q117707093,,Hendrik de Groot,Hendrik de Groot,Hendrik de Groot,Hendrik de Groot,Q117707093,,,"['Filologia', 'Język angielski']",,,,,,,
Filologia baszkirska,Filologia baszkirska,['Bashkir philology'],,['9810691770305606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Orientalistyka', 'Język baszkirski']",,,,,,,
Filologia białoruska,Filologia białoruska,['Białorutenistyka'],,['9810691770805606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Slawistyka', 'Język białoruski']",,,,,,,
Filologia chińska,Filologia chińska,"['Sinologia', 'Chinese philology']",,['9810691773405606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Orientalistyka', 'Język chiński', 'Pismo chińskie']",,,,,,,
Filologia czeska,Filologia czeska,['Bohemistyka'],,['9810691813505606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Slawistyka', 'Język czeski']",,,,,,,
Filologia języków germańskich,Filologia języków germańskich,['Germanistyka'],,['9810691824105606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Filologia', 'Języki germańskie']","['Filologia niderlandzka', 'Filologia niemiecka', 'Filologia skandynawska']",,,,,,
Filologia klasyczna,Filologia klasyczna,,,['9810691183605606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q495527,Класична філологія,Klassische Philologie,philologie classique,classical philology,filologia klasyczna,Q495527,sh85026710,25952,"['Filologia', 'Język grecki', 'Język łaciński', 'Kultura klasyczna']",['Papirologia'],,,,,,
Filologia litewska,Filologia litewska,['Lituanistyka'],,['9810691184705606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Bałtystyka', 'Język litewski']",,,,,,,
Filologia niderlandzka,Filologia niderlandzka,['Niderlandystyka'],,['9810691185105606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Filologia języków germańskich', 'Język niderlandzki']",,,,,,,
Filologia niemiecka,Filologia niemiecka,"['Filologia germańska', 'Germanistyka']",,['9810691185405606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Filologia języków germańskich', 'Język niemiecki']",,,,,,,
Filologia polska,Filologia polska,['Polonistyka'],,['9810691186405606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q1463332,полоністика,Polonistik,philologie polonaise,Polish studies,polonistyka,Q1463332,,,"['Slawistyka', 'Język polski']",,,,,,,
Filologia portugalska,Filologia portugalska,['Iberystyka'],,['9810691189705606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Filologia romańska', 'Język portugalski']",,,,,,,
Filologia romańska,Filologia romańska,['Romanistyka'],,['9810691189905606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q1277348,романістика,Romanistik,romanistique,Romance studies,romanistyka,Q1277348,sh85114963,,"['Filologia', 'Języki romańskie']","['Filologia francuska', 'Filologia hiszpańska', 'Filologia portugalska', 'Filologia rumuńska', 'Filologia włoska']",,,,,,
Filologia rosyjska,Filologia rosyjska,['Rusycystyka'],,['9810593742505606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Slawistyka', 'Język rosyjski']",,,,,,,
